OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
16478,2070,"Rua do Barão de Monte Pedral, Escola",São Vicente,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,,-1015302.7783093,4681787.0143209
16479,2071,"Rua Félix Bermudes, Piscina",Marvila,Passeio,BICICLETA,Onda,1,5,Não,Privado,Interdito Micromobilidade,,-1013664.8157003,4686135.6911581
16480,2072,Rua F ao Braço de Prata,Marvila,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,,-1012854.1646255,4685264.8073362
16481,2073,Rua Coronel Ferreira do Amaral,Penha de França,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,11,22,Não,Público,Partilhado com Micromobilidade,,-1016057.0272355,4683831.2480866
16482,2074,"Rua do Barão, 2",Santa Maria Maior,Passeio,BICICLETA,Sheffield standard,2,4,Não,Público,Interdito Micromobilidade,22/02/2023,-1016395.9095816,4680220.2489889
16483,2075,"Rua de São João da Praça, 77",Santa Maria Maior,Via,BICICLETA,Sheffield standard,2,4,Não,Público,Interdito Micromobilidade,22/02/2023,-1016448.4594528,4680156.2705286
16484,2076,Avenida Barbosa du Bocage,Avenidas Novas,Passeio,BICICLETA,Entorta rodas,2,10,Não,Privado,Interdito Micromobilidade,,-1017858.1523984,4684619.4235588
16485,2078,"Alameda dos Oceanos, 59",Parque das Nações,Passeio,HOTSPOT,Sheffield standard,2,10,Não,Público,Partilhado com Micromobilidade,,-1012518.9875314,4688824.5080808
16486,2077,Avenida Aquilino Ribeiro Machado,Parque das Nações,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,03/09/2023,-1012884.9986395,4688557.8777939
16487,2079,Avenida do Pacífico,Parque das Nações,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,03/09/2023,-1012679.5835501,4688308.8297683
16488,2080,"Avenida do Índico, 1C",Parque das Nações,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,03/09/2023,-1012610.0141190,4688573.3043447
16489,2081,Avenida de Berlim,Parque das Nações,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,03/09/2023,-1012899.7233339,4688380.6355064
16490,2082,Alameda dos Oceanos,Parque das Nações,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,03/09/2023,-1012416.2589756,4689854.2527384
16491,2083,"Alameda dos Oceanos, 104A",Parque das Nações,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,03/09/2023,-1012590.2095335,4690316.1039922
16492,2091,"Rua General João de Almeida, 30A",Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024292.2590822,4678994.3848538
16493,2092,Rua dos Marcos,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024098.7064834,4680071.0878237
16494,2093,Largo da Ajuda,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023793.1701180,4679910.5696715
16495,2094,Rua do Guarda-Jóias,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023476.8955484,4679594.8510701
16496,2095,"Rua Aliança Operária, 112A",Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023400.0959721,4679238.8447445
