objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
17285,2546,"Rua do Vale de Santo António, 39",São Vicente,Passeio,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,01/04/2023,-9.1226871,38.7179763
17601,2547,"Rua Alberto de Sousa, 8A",Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,,-9.1580517,38.7461049
17602,2548,Alameda Dom Afonso Henriques,Areeiro,Passeio,BICICLETA,Sheffield estreito,4,8,0,Público,Partilhado com Micromobilidade,,-9.1323872,38.7375627
17603,1132,"Avenida Sacadura Cabral, 39",Areeiro,Passeio,BICICLETA,Sheffield standard,2,4,0,Público,Partilhado com Micromobilidade,17/09/2020,-9.1430890,38.7439055
17921,1077,"Rua Maria Margarida, 6",Lumiar,Passeio,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,17/09/2025,-9.1545933,38.7774187
17922,719,Rua Dr. Eduardo Neves,Avenidas Novas,Lugar estacionamento automóvel,BICIPARQUE,Sheffield standard,6,12,1,Público,Interdito Micromobilidade,25/10/2019,-9.1479423,38.7444263
17923,2549,"Travessa André Valente, 7",Misericórdia,Passeio,BICIPARQUE,Dois níveis,0,0,1,Público,Interdito Micromobilidade,25/11/2025,-9.1475709,38.7111392
17924,1253,Largo República da Turquia,Lumiar,Lugar estacionamento automóvel,BICIPARQUE,Entorta rodas com encosto,24,24,1,Público,Interdito Micromobilidade,03/05/2021,-9.1596114,38.7733298
17925,2550,"Rua Rosália de Castro, 3",Alvalade,Passeio,BICICLETA,Sheffield standard,2,4,0,Público,Interdito Micromobilidade,01/04/2025,-9.1459046,38.7513825
17926,2248,"Avenida Engenheiro Duarte Pacheco, Liceu Francês",Campolide,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,25/11/2025,-9.1628764,38.7238953
17927,2553,"Rua Prof. Manuel Valadares, 7",Lumiar,Passeio,BICICLETA,Sheffield standard,8,16,0,Público,Partilhado com Micromobilidade,01/04/2025,-9.1609054,38.7752003
17928,2551,"Rua Silva Carvalho, 243",Campo de Ourique,Passeio,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,29/06/2021,-9.1611028,38.7207276
17929,2552,"Praça Afonso do Paço, 3",Campo de Ourique,Via,BICICLETA,Sheffield standard,4,8,0,Público,Interdito Micromobilidade,30/06/2025,-9.1669524,38.7201934
17930,1687,"Rua João da Mota e Silva, 3",Campolide,Passeio,BICICLETA,Sheffield standard,4,8,0,Privado,Interdito Micromobilidade,26/01/2022,-9.1738168,38.7311343
17931,89,Rua Almada Negreiros,Olivais,Via,BICICLETA,Sheffield standard,5,10,0,Público,Interdito Micromobilidade,01/04/2025,-9.1093090,38.7601332
17932,2554,"Praça Cidade de Dili, 3",Olivais,Passeio,BICICLETA,Sheffield standard,1,2,0,Público,Interdito Micromobilidade,,-9.1163502,38.7604710
