OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
15908,1383,"Rua Nova do Calhariz, 34A",Ajuda,Passeio,BICICLETA,Grelha,1,4,Não,Público,Partilhado com Micromobilidade,,-1023752.76083872,4679149.45982845
15909,1384,"Estrada de Montes Claros, Centro Equestre",Ajuda,Passeio,BICICLETA,Sheffield estilizado,2,4,Não,Público,Partilhado com Micromobilidade,,-1024145.341422,4681497.78996709
15910,1385,"Estrada de Montes Claros, Centro Equestre",Ajuda,Passeio,BICICLETA,Sheffield estilizado,2,4,Não,Público,Partilhado com Micromobilidade,,-1024157.26396238,4681457.238908
15911,1386,Calçada da Estação,Campolide,Passeio,BICICLETA,Lisboa,3,6,Não,Público,Partilhado com Micromobilidade,7/1/2019 12:00:00 AM,-1020764.36500513,4683037.95758061
15912,1387,Calçada da Estação,Campolide,Passeio,BICICLETA,Lisboa,3,6,Não,Público,Partilhado com Micromobilidade,7/1/2019 12:00:00 AM,-1020813.62297762,4682954.75439704
15913,1388,Largo da Igreja a Campolide,Campolide,Passeio,BICICLETA,Cascata,1,4,Não,Público,Partilhado com Micromobilidade,,-1020615.40362591,4682607.36356255
15914,1389,Jardim Guerra Junqueiro,Estrela,Passeio,BICICLETA,Sheffield estilizado,1,10,Não,Privado,Interdito Micromobilidade,,-1019667.45113543,4680749.34550834
15915,1391,"Travessa André Valente, 7",Misericórdia,Passeio,BICICLETA,Sheffield standard,6,12,Sim,Público,Interdito Micromobilidade,,-1018303.14762033,4680381.01355675
15916,1392,Beco da Atafona,Santa Maria Maior,Passeio,BICICLETA,Sheffield standard,1,2,Sim,Público,Interdito Micromobilidade,,-1016906.98745202,4680546.19768065
15917,1393,"Campo dos Mártires da Pátria, Faculdade",Arroios,Passeio,BICICLETA,Entorta rodas,1,5,Não,Privado,Interdito Micromobilidade,,-1017367.81349325,4681538.29678336
15918,1394,"Rua Prof. Bento de Jesus Caraça, 71E",Lumiar,Passeio,BICICLETA,Entorta rodas,1,5,Não,Público,Partilhado com Micromobilidade,,-1020881.46622597,4688045.75355955
15919,1430,"Avenida de António José de Almeida, Universidade",Areeiro,Passeio,BICICLETA,Sheffield largo,4,8,Não,Privado,Interdito Micromobilidade,,-1017366.9285626,4684207.75617349
15920,1431,"Avenida de António José de Almeida, Universidade",Areeiro,Passeio,BICICLETA,Sheffield largo,6,12,Não,Privado,Interdito Micromobilidade,,-1017427.82488444,4684118.3778826
15921,1432,"Avenida de António José de Almeida, IST",Areeiro,Passeio,BICICLETA,Entorta rodas,1,5,Não,Privado,Interdito Micromobilidade,,-1017424.11891778,4684055.25633369
15922,1433,"Avenida de António José de Almeida, IST",Areeiro,Passeio,BICICLETA,Entorta rodas,1,5,Não,Privado,Interdito Micromobilidade,,-1017422.8237383,4684060.71267266
15923,1434,"Avenida de António José de Almeida, Universidade",Areeiro,Passeio,BICICLETA,Sheffield largo,2,4,Não,Privado,Interdito Micromobilidade,,-1017439.66083304,4683884.28944839
15924,1435,Estrada de Benfica,São Domingos de Benfica,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,5/5/2021 12:00:00 AM,-1022094.43903999,4685309.03039304
15925,1436,"Avenida Dom Carlos I, 51D",Estrela,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,5/5/2021 12:00:00 AM,-1018903.82983019,4679962.68197079
15926,1437,"Rua Padre Américo, 8A",Carnide,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,2,4,Não,Público,Partilhado com Micromobilidade,5/5/2021 12:00:00 AM,-1021872.00581144,4687474.17981557
15927,1438,"Rua António Pedro, 68",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,5/5/2021 12:00:00 AM,-1016916.46647469,4683472.03890095
15928,1439,"Calçadinha dos Olivais, Escola",Olivais,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,Público,Partilhado com Micromobilidade,5/5/2021 12:00:00 AM,-1013808.6049443,4688730.09321142
