objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
16812,2408,Avenida Ribeira das Naus,Santa Maria Maior,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.1407987435982,38.7059252888597
16813,2409,"Avenida Vinte e Quatro de Julho, 28",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.15061813967974,38.7066528745354
16814,2410,"Praça do Duque da Terceira, 6",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14388551932606,38.7065239108965
16815,2411,Cais do Sodré,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14401520199285,38.7057647669855
16816,2412,Praça de Luís de Camões,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14357970152585,38.7107312314571
16817,2413,"Largo do Conde Barão, 54",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.15101665268094,38.7089000544874
16818,2414,Largo Trindade Coelho,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14299362975219,38.7132051110321
16819,2415,"Praça das Flores, 55",Misericórdia,Lugar estacionamento automóvel,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.15129748523944,38.7151969366046
16820,2416,"Praça do Duque da Terceira, 23",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14322896445846,38.7066480568027
16821,2417,"Praça do Príncipe Real, 19",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.1492581970435,38.7169159953398
16822,2418,Praça do Príncipe Real,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14814452712672,38.7160247779859
16823,2419,Praça do Príncipe Real,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14910001454565,38.7158283669684
16824,2420,Praça de Dom Luís I,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-09,-9.14710069886195,38.7073381423109
16825,2421,Rua da Academia das Ciências,Misericórdia,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-13,-9.14974709282421,38.713335706258
16826,2422,"Rua da Boavista, 81A",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-13,-9.14988371992094,38.7088848930067
16827,2423,Rua da Cintura do Porto de Lisboa,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-13,-9.15130518999097,38.7060693442408
16828,2424,Rua da Cintura do Porto de Lisboa,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-14,-9.14929308078611,38.7060189818496
16829,2425,Rua Dom Luís I,Misericórdia,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-14,-9.1491170530987,38.7075676381323
16830,2426,"Rua Dom Luís I, 3",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-14,-9.14766860163983,38.7074669830246
16831,2427,"Rua Ruben A. Leitão, 2",Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-14,-9.14962369372928,38.7142463826605
16832,2428,Largo de Jesus,Misericórdia,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2023-11-14,-9.15028152972736,38.7122359341818
16833,2429,Jardim Jorge Luis Borges,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,10,20,0,Público,Interdito Micromobilidade,2023-12-31,-9.14240460408515,38.7354297332378
16834,2430,Avenida da Liberdade,Santo António,Via,BICICLETA,Sheffield standard,15,45,0,Público,Partilhado com Micromobilidade,2023-12-31,-9.14759316702772,38.7218539964184
16835,2431,"Avenida da Liberdade, 69",Santo António,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,0,Público,Partilhado com Micromobilidade,2023-12-31,-9.14403317859161,38.7177781485882
16836,2441,"Avenida República da Bulgária, Lote 14",Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2024-01-12,-9.11592991674829,38.7482391756237
16837,2442,Avenida Vergílio Ferreira,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2024-01-12,-9.11894901259504,38.7434272896795
16838,2443,Largo Artur Bual,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,2024-01-12,-9.1091846794329,38.7415357831088
