objectid,cod_ciclovia,designacao,nome_projeto,hierarquia,tipologia,nivel_segregacao,tipo_intervencao,situacao,ano,entidade_resp,freguesia,comprimento_m,comp_km
148468,0487,Rua Silva Carvalho,Bairros 30+Bici - Bairro de Campo de Ourique,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campo de Ourique,391.13,0.39113
148473,0046,Rua Finisterra,Alameda dos Oceanos Sul,Local,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,9.82,0.00982
148474,0604,Rua João Amaral,,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,Sem dados,CML,Santa Clara,330.92,0.33092
148481,0566,Rua Interior à Alameda da Universidade,Via Lateral do Campo Grande,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Alvalade,23.84,0.02384
148482,0566,Rua Interior à Alameda da Universidade,Via Lateral do Campo Grande,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Alvalade,29.330000000000002,0.02933
148484,0080,Rua Carlos Gil,Marvila-OR14 - Bairro dos Alfinetes,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,SRU,Marvila,180.29,0.18029
148485,0080,Rua Carlos Gil,Marvila-OR14 - Bairro dos Alfinetes,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,SRU,Marvila,175.59,0.17559
148486,0269,Quinta da Bela Vista - Quinta da Montanha (Olaias),T09 - Quinta da Bela Vista - Quinta da Montanha (Olaias),Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2012,CML/DMEVAE,Areeiro,110.63,0.11063
148488,0162,Rua do Seminário,Parque Quinta da Granja Sul - Telheiras,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML,Carnide,379.94,0.37994
148489,0250,Rua Brito Aranha,Bairro Arco Cego,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML,Areeiro,317.08,0.31708
148492,0084,Avenida Afonso Costa,Avenida Afonso Costa,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMM; EMEL,Areeiro,603.29,0.60329
148495,0114,Rotunda à Avenida de Pádua,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2022,CML,Parque das Nações,75.37,0.07537
148496,0114,Rua António Mega Ferreira,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2022,CML,Parque das Nações,122.94,0.12294
148497,0114,Rotunda à Avenida de Pádua,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2022,CML,Parque das Nações,71.78,0.07178
148498,0114,Rua António Mega Ferreira,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2022,CML,Parque das Nações,110.5,0.1105
148499,0114,Rotunda à Avenida de Pádua,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2022,CML,Parque das Nações,7.67,0.00767
148500,0114,Rua António Mega Ferreira,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2022,CML,Parque das Nações,226.08,0.22608
148503,0008,Avenida Paulo VI,Avenida Paulo VI,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Marvila,11.38,0.01138
148504,0008,Avenida Paulo VI,Avenida Paulo VI,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Marvila,11.19,0.01119
148508,0285,Rua Engº Ferreira de Mesquita,Corredor Estruturante do Vale de Alcântara - Estação de Campolide-Avenida Calouste Gulbenkian,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Campolide,25.87,0.02587
148510,0213,Ponte ciclopedonal sobre a Radial de Benfica - Pq Calhau - S. Domingos Benfica,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,261.79,0.26179
148512,0023,Rua Prof. Fernando da Fonseca,Rua Prof. Fernando da Fonseca,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; CML/DMMC/DIOA,Lumiar,511.07,0.51107
